Module,Session Title,Learning Objectives,Instructor,Pre-Read,Lecture Scripts,Mental Map,Coding Question
Module 4: GenAI for Analytics Workflows + Basic Python,Summarise Compare and Report with GenAI,"Write prompts for summarising and comparing data using GenAI; Extract key points and identify important information from GenAI outputs; Generate structured reports (tables, summaries) using GenAI prompts; Improve outputs by refining prompts",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Breaking Down the Workflow,Break an analysis problem into multiple steps; Define steps required in an analytics workflow; Design simple GenAI-supported workflows,Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Multi-Step GenAI Workflows,"Combine multiple steps into a workflow; Use GenAI across different stages (analysis, reporting); Add validation steps in workflows",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Python Fundamentals I,"Work with variables and basic data types (integers, floats, strings, booleans); Use conditional statements (if/elif/else) to make decisions based on data",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Python Fundamentals II,"Work with lists, tuples, and dictionaries; Write for loops and while loops to iterate over lists, ranges, and dictionaries",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Python Fundamentals III,"Define and call functions with parameters and return values; Read and write files using Python (open, read, write); Understand common file formats (CSV, text) relevant to data work",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Python for APIs and GenAI Integration,"Make HTTP requests using the requests library; Understand API structure (endpoints, headers, JSON responses); Call the OpenAI API using Python to send prompts and parse responses; Build a simple script that combines file reading, functions, and API calls",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Getting Started with Python Data,Understand how Python is used for data analysis; Load datasets using pandas; View and inspect datasets using head and info; Select and filter rows and columns in a DataFrame,Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Cleaning Data with Pandas,Clean data using pandas; Modify columns and values; Handle missing values and duplicates in pandas; Perform simple transformations on datasets,Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Visualizing Data with Python,"Create basic plots using matplotlib (line, bar, scatter); Customize charts with titles, labels, and colors; Plot directly from pandas DataFrames; Compare Python-based visualization with Tableau for different use cases",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Connecting the Tools,"Combine outputs from spreadsheets, SQL, Tableau, and Python; Connect different tools into one workflow; Organize analysis steps end-to-end",Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,End-to-End Analytics Workflow,Demonstrate a complete analytics workflow; Use GenAI to document analysis steps; Generate and communicate final insights clearly,Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Statistics: Distributions; Insights and Drawing Conclusions,What data distributions are and how the shape of data changes what it means;How skewed data makes averages misleading in business reports;How to read histograms to spot trends; gaps; and unusual values;How to draw fair conclusions from data instead of guessing,Professor,,,,
Capstone Project,Capstone Task,Capstone Task,,,,,
Capstone Project,Capstone Task,Capstone Task,,,,,
