Module,Session Name,Sub Topics / Learning Objectives
Module 3: GenAI & Agents,Calling LLMs with OpenRouter,"Set up OpenRouter and make raw LLM API calls using the requests library without any framework; structure system, user and assistant messages correctly; parse API responses and handle errors and rate limits responsibly"
Module 3: GenAI & Agents,"Master Class: Vectors & Linear Algebra  The Mathematics of Space and Direction","Vectors from Scratch: scalar vs vector, magnitude, unit vectors. Dot Product & Angle Between Vectors: a·b = |a||b|cos(θ), cosine similarity intuition"
Module 3: GenAI & Agents,Prompt Engineering & Reasoning,"Design effective zero-shot and few-shot prompts for specific tasks using role prompting; apply chain-of-thought reasoning to improve multi-step problem solving; evaluate and iteratively refine prompts using a defined test set and failure analysis"
Module 3: GenAI & Agents,Structured Outputs with Pydantic,"Define structured output schemas using Pydantic BaseModel; patch an OpenRouter client with instructor to enforce structured JSON responses; validate and parse structured LLM outputs and handle malformed response gracefully"
Module 3: GenAI & Agents,Getting Started with LangChain,"Set up LangChain with OpenRouter as the LLM backend and explain why frameworks like LangChain exist; build prompt templates using PromptTemplate and ChatPromptTemplate; chain multiple LLM calls using LLMChain and SequentialChain"
Module 3: GenAI & Agents,Building AI Workflows in LangChain,"Build extraction and summarization workflows using LangChain chains and output parsers; design a simple FAQ bot and CSV copilot using LangChain pipeline patterns; construct multi-step AI pipelines that pass structured outputs between steps"
Module 3: GenAI & Agents,Text Embeddings & Semantic Search,"Generate text embeddings locally using sentence-transformers without any paid API; compute cosine similarity between embeddings to find semantically related content; distinguish semantic search from keyword search and explain when each is appropriate"
Module 3: GenAI & Agents,"Chunking, Vector Stores & Retrieval","Chunk documents using RecursiveCharacterTextSplitter with appropriate size and overlap; index document chunks into both ChromaDB and FAISS and compare their trade-offs; retrieve relevant chunks using similarity search and MMR retrieval"
Module 3: GenAI & Agents,"Master Class : Calculus Intuition - Change, Slope & Optimisation","The Idea of a Function & Rate of Change; Derivatives geometrically; Optimisation Intuition — minimise something mathematically; gradient descent intuition"
Module 3: GenAI & Agents,Building a RAG Pipeline,"Build an end-to-end RAG pipeline connecting a ChromaDB retriever to an LLM via LangChain; inject retrieved context into prompts to ground LLM responses in source documents; compare grounded vs ungrounded responses to analyze and reduce hallucination"
Module 3: GenAI & Agents,Building an AI Agent with LangChain,"Define custom tools and connect them to a LangChain AgentExecutor using the ReAct pattern; build a multi-step agent that selects and calls tools based on input; construct a working mini-agent build — either a CSV Analyst or FAQ Helpdesk — and control its execution safely"
Module 3: GenAI & Agents,"Agentic RAG, Evaluation & Guardrails","Wrap a ChromaDB retriever as a LangChain tool and integrate it into an AgentExecutor for agentic RAG; evaluate RAG pipeline quality using RAGAS metrics; implement guardrails and explain responsible AI principles around hallucination, privacy and reliability"
Module 3: GenAI & Agents,Agent Orchestration with LangGraph,"Design a multi-step agent workflow using LangGraph StateGraph with defined nodes and transitions; implement conditional edges to handle branching logic and retry handling across agent steps; compare LangGraph orchestration with LangChain AgentExecutor and justify when to use each"
